Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3454030:CERTIFICATES, NATIONAL SAFETY COUNCIL",SCHOOL HEALTH CORPORATION,12-Dec-14,PO512626,10.37,4594
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,22.92,4595
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5954056:PLANTERS, FLORAL (NURSERY, GREENHOUSE, ETC.)",General Merchandise Supplies,28-Jan-15,PO514767,698,4596
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GREAT AMERICAN CORP,11-Dec-14,PO512500,1531,4597
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854554:PAPER, DRAWING, SCHOOLROOM","SCHOLASTIC, INC.",19-Nov-14,PO510751,15.73,4598
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6407561:PAPER, TOILET, TYPE II - ROLL TISSUE",General Merchandise Supplies,22-Oct-14,PO507964,574,4599
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,17.21,4600
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"3454030:CERTIFICATES, NATIONAL SAFETY COUNCIL","PREVENTION SCIENCE PRESS, INC.",8-Dec-14,PO512222,0,4601
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9981800:Books, All Types (Library, School, etc.)",BARNES & NOBLE BOOKSELLERS INC,12-Nov-14,PO510068,4.79,4602
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,19-Dec-14,PO512862,27.7,4603
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2071000:Batteries, Computer and Peripheral",SCHOOL SPECIALTY,13-Feb-15,PO515655,120.68,4604
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,18.7,4605
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",LAKESHORE LEARNING MATERIALS,19-Feb-15,PO515823,341.88,4606
PUBLIC SERVICE COMMISSION,"5568700:Trolley, Transit, Rubber Tired (Electric)",WASH METRO AREA TRANSIT AUTH,2-Mar-15,PO506772-V2,80228,4607
METROPOLITAN POLICE DEPARTMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",THE PRESIDIO CORPORATION,28-Jan-15,PO514716,20593.86,4608
METROPOLITAN POLICE DEPARTMENT,"0551504:CHAINS, PASSENGER CAR TIRE, RADIAL CABLE, HIGH SPEED, FOR POLICE AND EMERGENCY VEHICLES",THE HAMILTON GROUP,12-Feb-15,PO515614,2864,4609
OFFICE OF THE CHIEF MEDICAL EXAMINER,"2048867:SCANNERS, COMPUTER, HAND HELD, W/6 FT. MIN. CABLES, BRAND AND MODEL LISTED OR EQUAL",CHESAPEAKE MEDICAL SYSTEMS INC,8-Dec-14,PO512178,6900,4610
OFFICE OF CABLE TV,"8405842:HARDWARE AND ACCESSORIES, TELEVISION",CORPORATE SYSTEMS RESOURCES,16-Dec-14,PO512829,5790,4611
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,15-Jan-15,PO514211,226.08,4612
DEPARTMENT OF FORENSICS SCIENCES,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",3-Mar-15,PO516355,3775.52,4613
DEPARTMENT OF FORENSICS SCIENCES,"9385600:Hospital and Medical Equipment, General, Maintenance and Repair",MILLIPORE CORP,11-Feb-15,PO515543,30382.77,4614
DEPARTMENT OF FORENSICS SCIENCES,"2083750:SOFTWARE, RELATIONAL DESKTOP DATABASE MANAGEMENT SYSTEM SERVER",Faro Technologies,23-Feb-15,PO515970,7930.8,4615
DEPARTMENT OF GENERAL SERVICES,"9134100:Construction, Power Line (Includes Installation, Maintenance, and Repair)","SPECTRUM MANAGEMENT, LLC",17-Dec-14,PO512358-V2,2063940.72,4616
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,DR RICHARD H CONANT,19-Nov-14,PO510831,1700,4617
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,ALDERSON REPORTING COMPANY,4-Nov-14,PO509325,432.15,4618
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,"2086539:SOFTWARE, MICROCOMPUTER, POINT OF SALE, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED",MYTHICS INC.,3-Feb-15,PO515025,42780.28,4619
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2045327:COMPUTER SYSTEM (CPU, MONITOR, AND KEYBOARD)",Revolution Messaging,14-Nov-14,PO510405,10800,4620
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",9-Jan-15,PO513919,33027.84,4621
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",6-Mar-15,PO516522,13720,4622
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",21-Nov-14,PO510994,5408.55,4623
DEPARTMENT OF BEHAVIORAL HEALTH,"9104846:LOCKSMITH SERVICES. TRIP CHARGE, 15 MILE RADIUS (VENDOR PROVIDES TOOLS AND TRANSPORTATION)",EMERGENCY 911 SECURITY,4-Feb-15,PO505649-V2,1500,4624
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),KAVIN R. GRAY,21-Oct-14,PO507778,495,4625
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",John Aquilino,9-Dec-14,PO512291,4550,4626
DEPARTMENT ON DISABILITY SERVICES,"9487632:CRISIS STABILIZATION SERVICES TO BE PROVIDED IN AN INPATIENT PSYCHIATRIC FACILITY, SHORT-TERM, NORMALLY 7 DAYS OR LESS","Metropolitan Therapeutic Services, Inc.",20-Oct-14,PO507628,10000,4627
DEPARTMENT OF HEALTH,"9154900:High Volume, Telephone Call Answering Services (See 915-05 for Low Volume Services)","Faneuil, Inc.",20-Nov-14,PO508898-V3,15000,4628
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),QUEST DIAGNOSTICS NICHOLS INS,1-Oct-14,PO505932,245000,4629
DEPUTY MAYOR FOR PLANNING AND ECON DEV,"9612800:Economic Development, Domestic and Foreign",DC HOUSING AUTHORITY,5-Nov-14,PO509415,300000,4630
DEPARTMENT OF TRANSPORTATION,"SUPPORT SERVICES, MICROCOMPUTER SOFTWARE",CYCON PUBLISHING INC.,10-Dec-14,PO512393,30600,4631
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9152430:CABLE TELEVISION SERVICES,COMCAST CORPORATION,4-Dec-14,PO511999,3639,4632
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4950700:Agricultural Science Equipment: Diffusive Resistance Meters, Leaf Porometers and Water Potential Measuring Equipment, Seed Counters and Germinators, Soil Sterilizers, etc.",CAROLINA BIOLOGICAL SUPPLY COM,9-Feb-15,PO515305,170.7,4633
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9710200:Athletic Facility Rental or Lease,THE MARYLAND-NATIONAL CAPITAL,6-Nov-14,PO509604,5460,4634
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),"MARLOW SPORTS, INC.",8-Dec-14,PO512221,150,4635
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.",OFFICE DEPOT,13-Jan-15,PO514028,54.99,4636
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5509175:DETECTORS, TRAFFIC SIGNAL AND CONTROL",DEMCO INC,23-Feb-15,PO515985,47.59,4637
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",BAKER & TAYLOR INC,13-Jan-15,PO513990,9.79,4638
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6153301:ACCESSORIES, DESK",LASER ART INC,17-Nov-14,PO510550,84,4639
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7851533:BOARDS, DRY ERASE, RADIUS-EDGED, VINYL FRAME, 10 IN. MARKER TRAY, MAY BE HUNG EITHER WAY",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510566,22019,4640
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,38.16,4641
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",MNB TRANSPORTATION SERVICE LLC,19-Feb-15,PO515846,400,4642
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School","Keller Transportation, Inc",3-Mar-15,PO516397,2250,4643
STATE SUPERINTENDENT OF EDUCATION (OSSE),9183800:Education and Training Consulting,DC PUBLIC CHARTER SCHOOL COOP,18-Dec-14,PO513058,50000,4644
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"Coastal Healthcare Services, I",23-Feb-15,PO515293,50000,4645
DC PUBLIC LIBRARY,"9981800:Books, All Types (Library, School, etc.)",BRODART CO,27-Jan-15,PO514688,150000,4646
DC PUBLIC LIBRARY,TAINLESS STEEL CHAIN,"KIMBALL INTERNATIONAL, INC",26-Jan-15,PO514585,197.2,4647
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,SCHOOL SPECIALTY,16-Jan-15,PO514253,42.4,4648
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",MONTESSORI SERVICES,21-Nov-14,PO511083,25,4649
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,23.96,4650
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,SPORTS4KIDS,26-Nov-14,PO511546,30000,4651
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",AMERICAN EXPRESS COMPANY,26-Nov-14,PO511434,10000,4652
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",WASHINGTON MUSIC CENTER,4-Nov-14,PO509358,25.5,4653
BOARD OF ELECTIONS,"9716500:Room Rental for Conferences, Seminars, etc.",CAPITOL MEMORIAL SEVENTH-DAY,15-Oct-14,PO507351,460,4654
OFFICE OF HUMAN RIGHTS,9567000:Research Services (Other Than Business),Elsa Teklehymanot,6-Feb-15,PO515285,9000,4655
OFFICE OF CONTRACTING AND PROCUREMENT,"2044852:KEYBOARD, MICROCOMPUTER",Dell Computer Corp.,21-Nov-14,PO511120,974.7,4656
OFFICE OF THE CHIEF FINANCIAL OFFICER,9625800:Professional Services (Not Otherwise Classified),"Aries Enterprises, LLC",28-Oct-14,PO487411-V3,77.94,4657
DEPARTMENT OF PUBLIC WORKS,"7656167:PARTS AND ACCESSORIES, SNOW PLOW (MISCELLANEOUS)",UPTOWN AUTO PARTS,17-Oct-14,PO507569,100000,4658
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER",Paige International,17-Dec-14,PO512923,352.08,4659
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",8-Oct-14,PO506634,8469,4660
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO505538-V2,94277.04,4661
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",26-Nov-14,PO507137-V2,54021.6,4662
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9625800:Professional Services (Not Otherwise Classified),OLD TAKOMA BUSINESS ASSOCIATIO,31-Oct-14,PO509060,38000,4663
DEPARTMENT OF PARKS AND RECREATION,"2324200:Kits and Supplies: Foil, Tin, etc.",THE HAMILTON GROUP,10-Dec-14,PO512374,21,4664
DEPARTMENT OF CORRECTIONS,"4957300:Physiological Testing and Recording Equipment (Single and Multichannel), and Accessories: Electrodes, Monitors, Stimulators, etc.",LAW ENFORCMENT PSYCHOLOGICAL,15-Dec-14,PO512661,37500,4665
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),C3,24-Oct-14,PO508339,1500,4666
DEPARTMENT OF CORRECTIONS,9625800:Professional Services (Not Otherwise Classified),"Preempt, Inc",13-Nov-14,PO508861-V2,39380,4667
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",GALA HISPANIC THEATER,31-Oct-14,PO509140,65000,4668
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Collections and Stories Amer.,28-Oct-14,PO508542,12000,4669
DEPARTMENT OF HEALTH,"9485583:TESTS, CLINICAL LABORATORY, NON-DRUG SCREENING",MFRI,28-Oct-14,PO507142,2500,4670
DEPARTMENT OF EMPLOYMENT SERVICES,"2093852:SOFTWARE, MAINFRAME, DATABASE, LATEST VERSION OR RELEASE LISTED",ON POINT TECHNOLOGY INC,29-Jan-15,PO514818,53319,4671
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),"Westlink Career Institute, LLC",19-Dec-14,PO513146,4450,4672
DEPARTMENT OF EMPLOYMENT SERVICES,"2008598:UNIFORMS, BUSINESS AND WORK (VARIOUS), MEN AND WOMEN",MORGANS INC,23-Dec-14,PO507194-V2,958,4673
DEPARTMENT OF BEHAVIORAL HEALTH,9751440:AUTOMOBILE RENTAL OR LEASE SERVICES,GENERAL SERVICE ADMINISTRATION,20-Oct-14,PO507723,29231,4674
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),"RAP, INC.",1-Oct-14,PO505898,5753,4675
DEPARTMENT OF BEHAVIORAL HEALTH,9484800:Health Care Services (Not Otherwise Classified),Psychiatric Rehab Svcs (PRS),18-Nov-14,PO510651,20000,4676
DEPARTMENT OF BEHAVIORAL HEALTH,9484800:Health Care Services (Not Otherwise Classified),INSTITUTE OF URBAN LIVING INC.,9-Dec-14,PO512348,10000,4677
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),TOTAL FAMILY CARE COALITION,9-Dec-14,PO507617-V4,7200,4678
DEPARTMENT OF BEHAVIORAL HEALTH,4756900:Pharmaceutical Equipment and Supplies (Not Otherwise Classified),PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,17-Jan-15,PO514319,6482.4,4679
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9617542:TRANSLATION SERVICES, ENGLISH TO SPANISH",MULTICULTURAL COMMUNITY SERVIC,30-Dec-14,PO513602,5000,4680
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9622400:Courier/Delivery Services (Including Air Courier Services),"SCHOLASTIC, INC.",23-Oct-14,PO508217,89.82,4681
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),TRIARCO ARTS & CRAFTS LLC,13-Feb-15,PO515649,175.84,4682
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",NATIONAL GEOGRAPHIC SOCIETY,24-Dec-14,PO513369,400,4683
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0504045:MISCELLANEOUS DRAWING AND PAINTING SUPPLIES,SCHOOL SPECIALTY,13-Nov-14,PO510262,63.74,4684
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,18.71,4685
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",MACKIN LIBRARY MEDIA,18-Dec-14,PO513048,25.34,4686
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9247800:Teaching and Instruction Services  (Including Elementary and Secondary Education, Higher Education and Adult Education)",MCGRAW-HILL COMPANIES,22-Oct-14,PO507946,3296.7,4687
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,15-Jan-15,PO514211,199.8,4688
OFFICE OF PEOPLES COUNSEL,"4204025:BOOKCASE, HOUSEHOLD, WOOD",Capital Services and Supplies,19-Feb-15,PO515819,600.92,4689
OFFICE OF PEOPLES COUNSEL,9653049:LAYOUT AND GRAPHIC DESIGN SERVICES,"KCP Communications, Inc.",22-Oct-14,PO507972,2000,4690
CHILD AND FAMILY SERVICES AGENCY,9186700:Human Services Consulting (To Include Mental Health Consulting Services),NATIONAL COUNCIL ON CRIME,21-Oct-14,PO507805,15080,4691
DEPARTMENT OF GENERAL SERVICES,"9060700:Architect Services, Professional",CONSYS INC,6-Nov-14,PO503061-V2,610142,4692
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9619000:Writing Services, All Kinds (Including Resumes, Calligrapher/Engrosser Services)",BERT SMITH & COMPANY,28-Oct-14,PO487621-V3,12891.5,4693
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",EMBRY-RIDDLE AERONAUTICAL UNI.,13-Jan-15,PO514068,1560,4694
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",Howard University the Learning Academy,9-Dec-14,PO512283,1740,4695
D.C. NATIONAL GUARD,"5004000:Ironers and Accessories, Flatwork",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,28-Jan-15,PO514740,779,4696
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,18-Dec-14,PO510505-V2,0,4697
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,24-Feb-15,PO516006,59.4,4698
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",THE HAMILTON GROUP,10-Dec-14,PO512374,31.14,4699
DEPARTMENT OF HEALTH,"9155143:HOSTING SERVICES, WEB SITE","OZ Systems USA, LLC",9-Jan-15,PO513887,50000,4700
DEPARTMENT ON DISABILITY SERVICES,9366700:Refrigeration Equipment Maintenance and Repair,Enviro-Aire Mechanical Srvcs,7-Oct-14,PO506355,15000,4701
DEPARTMENT OF HEALTH,9625800:Professional Services (Not Otherwise Classified),ATLANTIC EMS COUNCIL,25-Nov-14,PO511395,8000,4702
DEPARTMENT OF HEALTH,9521500:Case Management,NATIONAL CAPITAL POISON CENTER,17-Dec-14,PO510232,350000,4703
DEPARTMENT OF EMPLOYMENT SERVICES,9462000:Auditing,"F.S. TAYLOR & ASSOCIATES, PC",20-Feb-15,PO515871,12175,4704
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Etis Corporation,12-Nov-14,PO510131,124715.52,4705
DEPARTMENT OF BEHAVIORAL HEALTH,9520600:Alcohol and Drug Prevention,Research Triangle Institute,23-Feb-15,PO515713,137980,4706
DEPARTMENT OF BEHAVIORAL HEALTH,"9344200:Laundry and Dry Cleaning Equipment, Commercial, Maintenance and Repair","HYNES & WALLER, INC.",20-Oct-14,PO507674,3500,4707
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Health Management Associates,10-Oct-14,PO507046,148.5,4708
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"SMI Sign Systems, Inc.",26-Jan-15,PO514243-V2,8580,4709
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CHESTNUT HEALTH SYSTEMS,9-Dec-14,PO506054-V3,375,4710
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),COMMUNITY CONNECTIONS,10-Dec-14,PO505857-V2,18600,4711
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,21.59,4712
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7858500:Reading Programs, Reading Aids, Accelerators, and Calculators",AMERICAN READING COMPANY,3-Dec-14,PO511906,384,4713
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854553:PAPER, CONSTRUCTION, 100% SULFITE","SKY,LLC DBA/US-OFFICE SOLUTION",4-Dec-14,PO511941,27.8,4714
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9240500:Advisory Services, Educational",MINDSET WORKS,14-Nov-14,PO510302,18750,4715
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",AMERICAN READING COMPANY,29-Dec-14,PO513533,28.8,4716
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2049692:WARRANTY, EXTENDED, COMPUTER EQUIPMENT",APPLE COMPUTER INC,4-Feb-15,PO515148,142,4717
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9628600:Transportation of Goods and other Freight Services,"HOLDER ENTERPRISES, INC.",21-Nov-14,PO511080,50,4718
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,Karen A Beeman,20-Oct-14,PO507642,500,4719
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6152505:CLIPBOARDS, ACRYLIC",AMERICAN EXPRESS COMPANY,17-Nov-14,PO510578,10000,4720
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151142:SHEETS, BINDER FILLER, 16 LB. SULPHITE BOND, W/ROUNDED CORNERS, 3 HOLE PUNCHED",AMERICAN EXPRESS COMPANY,24-Dec-14,PO513364,5000,4721
DEPARTMENT OF HUMAN SERVICES,9524300:Family and Social Services (Including Shopping and Buying Services),Opportunities Industrial Center,3-Nov-14,PO509197,150000,4722
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),Capital Services and Supplies,24-Dec-14,PO513390,700,4723
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),THE PROPHET CORPORATION,6-Feb-15,PO515278,135.18,4724
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9156841:MICROFILM DEVELOPMENT SERVICES FOR THE DEPT. OF HUMAN SERVICES, BUREAU OF CLAIM PROCESSING, DIV. OF CLAIMS SERVICES. THE CONTRACTOR SHALL BE RESPONSIBLE FOR PICKUP AND DELIVERY",M Edwards South River Partners,15-Dec-14,PO512653,19500,4725
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,12.41,4726
DEPARTMENT OF FORENSICS SCIENCES,"1751560:JARS, PIPET, POLYETHYLENE, FOR WASHING AND SOAKING",USA Scientific Inc,12-Feb-15,PO515486,139.5,4727
DEPARTMENT OF FORENSICS SCIENCES,"1751710:CYLINDERS, LABORATORY",ROBERTS OXYGEN COMPANY INC,19-Dec-14,PO513214,32000,4728
OFFICE OF THE MAYOR,9180600:Administrative Consulting,Experience in Action,17-Nov-14,PO510442,84445,4729
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"Alternatives Renewable Solutions, LLC",22-Nov-14,PO511123,15835,4730
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,Dell Computer Corp.,24-Feb-15,PO516066,6039.32,4731
DEPARTMENT OF GENERAL SERVICES,9103957:JANITORIAL/CUSTODIAL SERVICES,R&R JANITORIAL PAINTING,7-Nov-14,PO509808,164720,4732
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2045373:SERVERS, FILE, MICROCOMPUTER",Dell Computer Corp.,1-Dec-14,PO511676,6615,4733
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",On-Line Computer Products Inc.,19-Nov-14,PO510846,487.8,4734
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,PRODUCT & HIGHWAY SAFETY INSTI,13-Feb-15,PO511826-V2,6.6,4735
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9625800:Professional Services (Not Otherwise Classified),"Clarkson Systems & Analyses, Inc.",13-Nov-14,PO510290,57084,4736
DEPARTMENT OF PARKS AND RECREATION,"2324200:Kits and Supplies: Foil, Tin, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,38.36,4737
DEPARTMENT OF PARKS AND RECREATION,"2324200:Kits and Supplies: Foil, Tin, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,50.36,4738
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,38.36,4739
DEPARTMENT OF HEALTH,"9635700:Postage Related Purchases (Incl. Postage Stamps, Pre-Sort 1st Class Inscriptions, Postage by Phone for Meters, etc.)",UNITED STATES POSTAL SERVICE,24-Dec-14,PO513441,70000,4740
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),"ASM EDUCATIONAL CENTER, INC",24-Feb-15,PO516041,4000,4741
DEPARTMENT OF BEHAVIORAL HEALTH,"6453382:PAPER, COPY, RECYCLED STOCK, WITH 50% OF ITS TOTAL WEIGHT CONSISTING OF SECONDARY AND POST CONSUMER WASTE MINIMUM AND 10% OF ITS TOTAL WEIGHT CONSISTING OF POST CONSUMER WASTE MINIMUM",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,4-Mar-15,PO516488,3039.2,4742
DEPARTMENT OF BEHAVIORAL HEALTH,9751440:AUTOMOBILE RENTAL OR LEASE SERVICES,GENERAL SERVICE ADMINISTRATION,20-Oct-14,PO507723,9363,4743
